farm_name,zone,city,turbines,latitude,longitude
El Cerro Ampliación,Burgos (Castilla y Leon),"Valle de Sedano, Los Altos",12,42.72,-3.74
El Chaparro,Guadalajara (Castilla-La Mancha),Villaverde del Ducado,8,41.014,-2.506
El Colmenar II,Almeria (Andalucía),"Abrucena, Fiñana ",10,37.137,-2.834
El Conjuro,Granada (Andalucía),Motril-Gualchos,36,36.811,-3.493
El Coscojar II,Zaragoza (Aragon),"Plasencia de Jalón, Pedrola",14,41.733,-1.235
El Coterejón I,Burgos (Castilla y Leon),Merindad de Valdeporres ,9,43.021,-3.769
El Coterejón II,Burgos (Castilla y Leon),"Merindad de Vadeporres, Valle de Valdebezana ",3,43.021,-3.769
El Cuadrón,Palencia (Castilla y Leon),"Hornillos de Cerrato, Torquemada",11,41.96,-4.26
El Escambrons,Lleida (Cataluna),Almatret,16,41.287,-0.428
El Escepar,Cuenca (Castilla-La Mancha),Villalba del Rey,15,40.379,-2.626
El Escepar Ampliación,Cuenca (Castilla-La Mancha),Villalba del Rey,3,40.379,-2.626
El Espartal,Zaragoza (Aragon),Zaragoza,3,41.649,-0.89
El Gallego,Cadiz (Andalucía),Tarifa,30,36.01,-5.6
El Gallo,Burgos (Castilla y Leon),"Villaquirán de los Infantes, Villaldemiro, Tamarón, Los Balbases",26,42.227,-4.008
El Gramal,Albacete (Castilla-La Mancha),"Romica (El Bonillo, El Ballestero)",44,39.06,-1.83
El Granado,Huelva (Andalucía),El Granado,17,37.54,-7.459
El Hierro,Zamora (Castilla y Leon),"Losacio, Losacino, Carbajales de Alba, Olmillos de Castro",14,41.688,-5.978
El Lanchal,Avila (Castilla y Leon),San Juan de la Nava,25,40.479,-4.682
El Llano,Zaragoza (Aragon),Rueda de Jalón,0,41.633,-1.277
El Manzanal,Leon (Castilla y Leon),Brazuelo,45,42.5,-6.16
El Marquesado,Cadiz (Andalucía),Puerto Real,7,36.576,-6.152
El Moral,Ciudad Real (Castilla-La Mancha),Moral de Calatrava,20,38.84,-3.593
El Moralejo I,Albacete (Castilla-La Mancha),Romica,3,39.005,-1.37
El Moralejo II,Albacete (Castilla-La Mancha),Alpera ,6,39.005,-1.37
El Motarro,Tarragona (Cataluna),Vandellòs i L´Hospitalet de L´Intant,2,41.02,-0.83
El Mulatón,Valencia (Comunidad Valenciana),Ayora,19,39.031,-1.143
El Navazo Fase I,Burgos (Castilla y Leon),Pedrosa del Príncipe,35,42.25,-4.2
El Navazo Fase II,Burgos (Castilla y Leon),"Pedrosa del Príncipe, Castrojeriz Astudillo",5,42.26,-4.18
El Negredo,Burgos (Castilla y Leon),Merindad de Río Ubierna ,9,42.587,-3.736
El Nogal,Burgos (Castilla y Leon),"Carcedo de Burgos, Cardeñadijo ",12,42.303,-3.635
El Olivillo,Cadiz (Andalucía),Jeréz de la Frontera ,17,36.687,-6.137
El Pandero,Cadiz (Andalucía),Tarifa,10,36.01,-5.6
El Páramo,Burgos (Castilla y Leon),Alfoz de Quintanadueñas ,16,42.392,-3.761
El Pedrón,Leon (Castilla y Leon),Santa Coloma de Somoza,27,42.445,-6.245
El Peralejo,Cuenca (Castilla-La Mancha),"Villalba del Rey, Tinajas",13,40.351,-2.61
El Perdón,Navarra,"Zariquiegui, Astráin",40,42.73,-1.74
El Perul,Burgos (Castilla y Leon),"Valladiego, Urbel del Castillo",31,42.578,-3.867
El Pical,Palencia (Castilla y Leon),Barruelo de Santillán,30,42.91,-4.27
El Pilar,Zaragoza (Aragon),La Muela,25,41.58,-1.12
El Pino,Cadiz (Andalucía),Los Barrios,11,36.19,-5.49
El Poleo,Valladolid (Castilla y Leon),Castromonte,14,41.773,-5.041
El Pradillo,Zaragoza (Aragon),"Agón, Borja, Fréscano",0,41.874,-1.452
El Puerto (Unificado),Teruel (Aragon),Cuevas de Almadén,38,40.766,-0.8
El Pulpal,Soria (Castilla y Leon),"Hinojosa del Campo, Ólvega, Pozalmuro",23,41.77,-2.03
El Puntal,Málaga (Andalucía),Sierra de Yeguas ,13,37.17,-4.846
El Raso,Palencia (Castilla y Leon),Fuentes de Valdepero,3,42.064,-4.449
El Rebollar,Palencia (Castilla y Leon),Hontoria de Cerrato,3,41.918,-4.38
El Redondal Fase 1,Leon (Castilla y Leon),"Castropodame, Turienzo Castañero",17,42.544,-6.421
El Redondal Fase 2,Leon (Castilla y Leon),"Castropodame, Turienzo Castañero",19,42.544,-6.421
El Relumbrar,Albacete (Castilla-La Mancha),Alpera ,20,38.959,-1.235
El Rincón,Avila (Castilla y Leon),"San Juan del Olmo, Balbarda ",4,40.637,-5.01
El Rodeo,Las Palmas (Canarias),San Bartolomé de Tirajana,6,27.802,-15.446
El Romeral,Albacete (Castilla-La Mancha),Chinchilla de Montearagón ,17,38.919,-1.723
El Ruedo,Cadiz (Andalucía),Tarifa,20,36.01,-5.6
El Sardón,Huelva (Andalucía),El granado,30,37.54,-7.451
El Saso,Zaragoza (Aragon),Aguilón,3,41.294,-1.048
El Saucito,Huelva (Andalucía),El Almendro ,18,37.58,-7.146
El Segredal,Asturias,Villayón,18,43.421,-6.665
El Sotillo-Tablares,Zaragoza (Aragon),"Lumpiaque, Rueda de Jalón, Plasencia de Jalón",8,41.66,-1.27
El Tablado,Soria (Castilla y Leon),"Borobia, Beratón",30,41.693,-1.834
El Teruelo,Palencia (Castilla y Leon),"Melgar de Yuso, Villodré, Astudillo",51,42.22,-4.27
El Tesorillo,Cadiz (Andalucía),Jimena de la Frontera,12,36.435,-5.454
El Toranzo,Soria (Castilla y Leon),Cueva de Agreda-Borobia,30,41.718,-1.917
El Toranzo Ampliación,Soria (Castilla y Leon),Olvega Borobia,11,41.718,-1.917
El Valle Valdenavarro,Navarra,Cortes,0,41.922,-1.43
El Venzo,Cadiz (Andalucía),"Medina, Sidonia",4,36.463,-5.945
El Viudo I,Valencia (Comunidad Valenciana),La Yesa,16,39.941,-0.921
El Viudo II,Valencia (Comunidad Valenciana),La Yesa,13,39.93,-0.926
Elgea,Alava (Euskadi),"Onati, Aretxabaleta",37,42.963,-2.489
Elgea Ampliación,Guipuzkoa (Euskadi),"Onati, Aretxabaleta",3,42.961,-2.498
Elgea-Urkilla,Alava (Euskadi),"Barundia, Donemiliaga",38,42.958,-2.446
Elican,Offshore,,1,28.04,-15.36
Encinedo,Palencia (Castilla y Leon),"Hornillos de Cerrato, Baltanás",15,41.96,-4.26
Encinillas,Palencia (Castilla y Leon),Paredes de Nava,0,42.153,-4.697
Enix,Almeria (Andalucía),Enix,40,36.88,-2.6
Entredicho,Zaragoza (Aragon),Fuendetodos,18,41.326,-0.947
Epina,SC Tenerife (La Gomera),Vallehermoso (La Gomera),2,28.17,-17.306
Era del Pico,Leon (Castilla y Leon),"Mallonseca, Castropodame, T,Bierzo",14,42.57,-6.58
Eras de Bonete,Albacete (Castilla-La Mancha),Bonete,0,38.871,-1.351
Es Milá,Baleares,Menorca ,4,39.918,-4.259
Escalón,Guadalajara (Castilla-La Mancha),"Maranchón, Luzón",15,41.03,-2.24
Escucha (Unificado),Teruel (Aragon),Escucha,29,40.77,-0.84
Escurrillo,Logroño (La Rioja),"Villaroya, Quel, Autol",33,42.259,-2.197
Esdras Canarias,Offshore,,0,27.8,-15.4
Espina,Leon (Castilla y Leon),La Espina ,9,42.79,-4.908
Esquileo I,Palencia (Castilla y Leon),Ampudia ,25,41.914,-4.78
Experimental Barasoain,Navarra,,5,42.606,-1.678
Experimental Vedadillo,Navarra,Falces,3,42.399,-1.835
Faladoira I,La Coruna (Galicia),"Mañón, Ortigueira ",37,43.58,-7.79
Farelo,Pontevedra (Galicia),"Rodeiro, Agolada (Pontevedra), Antas de Ulla (Lugo)",18,42.745,-7.939
Farlan,Teruel (Aragon),Muniesa,12,41.032,-0.815
Farrapa,Lugo (Galicia),"Abadín, Mondoñedo, Pastoriza ",10,43.383,-7.364
Fatarella,Tarragona (Cataluna),La Fatarella,21,41.175,-0.5
Ferreira II,Granada (Andalucía),"Ferreira, La Calahorra",25,37.18,-3.05
Finca de Mogan I,SC Tenerife (Tenerife),Arico (Tenerife),33,28.164,-16.446
Finca de Mogan II,SC Tenerife (Tenerife),Arico (Tenerife),20,28.178,-16.479
Finca de San Antonio,Las Palmas (Canarias),Gran Canaria ,5,27.848,-15.424
Fiouco,Lugo (Galicia),Abadín,15,43.428,-7.549
Floating Power Plant - PLOCAN,Offshore,,0,28.05,-15.35
Flocan 5,Offshore,,5,27.765,-15.392
FLOTANT,Offshore,,0,28.65,-15.59
Folch I,Castellon (Comunidad Valenciana),Castellfort,33,40.479,-0.199
Folch II,Castellon (Comunidad Valenciana),Castellfort,10,40.491,-0.188
Fonsagrada,Lugo (Galicia),"A Fonsagrada, Castroverde, Baleira, Ribeira de Piquín, Pol",69,43.13,-7.07
Fonteavia I,Pontevedra (Galicia),"A Lama, Fomelos, Covelo",16,42.22,-8.37
Fonteavia II,Pontevedra (Galicia),"A Lama, Fomelos, Covelo",22,42.21,-8.37
Fontesilva,La Coruna (Galicia),"Santa Comba, Coristanco ",12,43.11,-8.818
Fontesilva II,La Coruna (Galicia),"Santa Comba, Coristanco",0,43.11,-8.818
Forgoselo,La Coruna (Galicia),"Capelo, San Sadurniño",37,43.54,-8.01
FOWCA,Offshore,,0,27.81,-15.31
Francisco Borja,Zaragoza (Aragon),"Borja, Fréscano",0,41.874,-1.452
Fréscano,Zaragoza (Aragon),Fréscano,7,41.874,-1.452
Fuencaliente,SC Tenerife (La Palma),Fuencaliente (La Palma),8,28.461,-17.835
Fuendetodos I,Zaragoza (Aragon),"Fuendetodos, Villanueva de Huer",23,41.353,-0.96
Fuendetodos II,Zaragoza (Aragon),"Fuendetodos, Villanueva de Huer",56,41.375,-0.957
Fuente de la Arena,Albacete (Castilla-La Mancha),Romica,15,38.993,-1.34
Fuente Salada,Burgos (Castilla y Leon),"Castellanos de Castro, Sasamón",29,42.329,-4.034
Fuente Vaín,Burgos (Castilla y Leon),Carcedo de Burgos ,16,42.275,-3.629
Fuerteventura Renovable II,Las Palmas (Canarias),La Oliva,2,28.61,-13.928
Gamesa 5MW Test Turbine,Offshore,,1,27.85,-15.4
Gamoide,Lugo (Galicia),"Cervo,O Valadouro, Foz",25,43.581,-7.466
Gascuena Este,Cuenca (Castilla-La Mancha),"Gascuena, Olmeda de la Cuesta",0,40.311,-2.477
Gatún I,Logroño (La Rioja),"Arnedillo, Robres del Castillo, Ocón",33,42.151,-2.041
Gatún II (1F),Logroño (La Rioja),"Arnedillo, Robres del Castillo, Ocón",11,42.151,-2.041
Gavilanes,Murcia,"Yecla, Jumilla",33,38.602,-1.291
GEROA,Offshore,,0,43.52,-2.87
GOFIO,Offshore,,0,27.79,-15.37
Goia Peñote,Lugo (Galicia),"Muras, Xermade, Vilalba",43,43.423,-7.694
Gomera (Fase A),Sevilla (Andalucía),Osuna,9,37.237,-5.103
Goya,Zaragoza (Aragon),"Aguilón, Azuara, Herrera de los Navarros",81,41.259,-1.005
Grado,Soria (Castilla y Leon),"Ayllón, Montejo de Tiermes",32,41.4,-3.29
Graiade,La Coruna (Galicia),Porto do Son ,11,42.689,-8.998
Gran Canaria Este,Offshore,,0,27.79,-15.35
Granadilla I,SC Tenerife (Tenerife),Granadilla de Abona ,1,28.12,-16.577
Granadilla II,SC Tenerife (Tenerife),Granadilla de Abona ,1,28.12,-16.577
Granadilla III,SC Tenerife (Tenerife),Granadilla de Abona ,8,28.07,-16.514
Grijota,Palencia (Castilla y Leon),Monzón de Campos,6,42.101,-4.485
Grisel II,Zaragoza (Aragon),Grisel,4,41.861,-1.724
GUANCHE,Offshore,,0,27.67,-15.56
Guijo I,Guadalajara (Castilla-La Mancha),"Anquela del Ducado, Selas, Mazarete ",19,40.967,-2.161
Guijo II,Guadalajara (Castilla-La Mancha),"Anquela del Ducado, Selas, Mazarete ",13,40.967,-2.161
Haría,Las Palmas (Canarias),Agüimes ,1,27.904,-15.442
Hedroso-Aciberos,Zamora (Castilla y Leon),Lubián,37,42.03,-6.91
Hedroso-Aciberos Ampliacion ,Zamora (Castilla y Leon),Lubián ,7,42.035,-6.908
Higueruela,Albacete (Castilla-La Mancha),Higueruela,57,38.977,-1.443
Hijes,Guadalajara (Castilla-La Mancha),Hijes,20,41.279,-3.043
Hilada Honda,Zaragoza (Aragon),"Villar de los Navarros (Zaragoza), Loscos (Teruel)",0,41.119,-1.044
Hinojal I,Cadiz (Andalucía),Tarifa,7,36.01,-5.6
Hinojal II,Cadiz (Andalucía),Tarifa,4,36.01,-5.6
Hiperión II,Soria (Castilla y Leon),Suellacabras,20,41.852,-2.224
Hontalbilla I,Soria (Castilla y Leon),"Frechilla Almazán, Baraona, Villasayas",43,41.33,-2.64
Hontalbilla II,Soria (Castilla y Leon),"Adradas, Baraona",34,41.33,-2.58
Hornillos,Palencia (Castilla y Leon),"Hornillos de Cerrato, Baltanás",13,41.96,-4.26
Hoya Gonzalo,Albacete (Castilla-La Mancha),Romica,33,39.06,-1.83
Huéneja III,Granada (Andalucía),Huenéja,25,37.18,-2.95
Ibargoiti,Navarra,"Ibargoiti, Leoz, Ezprogui",40,42.65,-1.47
Icor,SC Tenerife (Tenerife),Arico,0,28.152,-16.48
Igea,Logroño (La Rioja),Igea,14,42.014,-2.068
Ignacio Molina,Málaga (Andalucía),Casares,4,36.42,-5.285
Ingenio (Arinaga GC-1),Las Palmas (Canarias),Ingenio,2,27.863,-15.419
Iniesta,Cuenca (Castilla-La Mancha),Iniesta,0,39.445,-1.756
Irixo,Ourense (Galicia),"Irixo, Piñor de Cea, Carballiño",11,42.52,-8.11
Isabela,Albacete (Castilla-La Mancha),Casas de Lázaro,64,38.711,-2.176
Izco,Navarra,"Lumbier, Albar, Ezprogui",50,42.642,-1.42
Jaufil,Granada (Andalucía),Zujar ,2,37.502,-2.87
Jaulin,Zaragoza (Aragon),Zaragoza,1,41.45,-0.983
Jerez,Cadiz (Andalucía),Jeréz de la Frontera ,22,36.583,-5.988
Juan Adalid,SC Tenerife (La Palma),Garafia (La Palma),9,28.839,-17.909
Juno,Soria (Castilla y Leon),"Aldehuelas, Villar del Rio, Suellacabras, Magaña",33,41.84,-2.25
La Bandera,Navarra,"Fustiñana, Cabanillas, Bardenas Reales",43,42.074,-1.473
La Bandera Ampliación,Navarra,"Fustiñana, Cabanillas, Bardenas Reales",1,42.074,-1.469
La Bobia - San Isidro,Asturias,Villanueva de Oscos,58,43.342,-6.889
La Brújula,Burgos (Castilla y Leon),"Monasterio de Rodilla, Valle de las Navas",35,42.46,-3.47
La Cabaña,Albacete (Castilla-La Mancha),Romica,49,39.06,-1.83
La Cabrera Ampliación,Valencia (Comunidad Valenciana),Buñol,4,39.42,-0.79
La Cabrera I,Valencia (Comunidad Valenciana),Buñol,4,39.42,-0.79
La Cabrera II,Valencia (Comunidad Valenciana),Buñol,16,39.42,-0.79
La Caldera,Burgos (Castilla y Leon),"Huérmeces, Villadiego ",15,42.522,-3.773
La Calera,Navarra,Enériz,3,42.653,-1.76
La Caleta,Las Palmas (Canarias),San Bartolomé de Tirajana,7,27.802,-15.446
La Calzada,Burgos (Castilla y Leon),Montorio ,16,42.598,-3.75
La Cámara,Málaga (Andalucía),"Ardales, Teba",4,36.935,-4.871
La Campaña,Navarra,Pueyo,3,42.566,-1.668
La Carracha,Zaragoza (Aragon),La Muela,66,41.58,-1.12
La Castellana (Spain),Cadiz (Andalucía),Puerto Real,21,36.536,-6.084
La Caya,Navarra,Olite ,3,42.449,-1.694
La Celaya,Lugo (Galicia),"Abadín, Vilalba",32,43.33,-7.59
La Cerradilla,Almeria (Andalucía),"Serón, Tíjola",25,37.34,-2.47
La Cerradilla II,Almeria (Andalucía),Serón,11,37.34,-2.51
La Collada,Tarragona (Cataluna),El Perelló ,1,41.176,-0.899
La Cometa 1,Zaragoza (Aragon),"Aguilón, Azuara, Herrera de los Navarros",0,41.259,-1.006
La Cometa 2,Zaragoza (Aragon),"Aguilón, Azuara, Herrera de los Navarros",0,41.259,-1.006
La Cotera,Burgos (Castilla y Leon),"Merindad de Valdeporres, Valle de Valdebezana ",9,42.971,-3.786
La Cotorra,Palencia (Castilla y Leon),"Merindad de Valdeporres, Valle de Valdebezana ",1,43.01,-3.742
La Cuerda,Albacete (Castilla-La Mancha),"Petrola, Chinchilla de MonteAragón",48,38.797,-1.473
La Cuesta,Málaga (Andalucía),Campillos ,14,37.045,-4.861
La Cueza,Leon (Castilla y Leon),Sahagún ,4,42.393,-4.914
La Dehesica,Albacete (Castilla-La Mancha),La Roda,19,39.157,-2.209
La Dehesilla I,Palencia (Castilla y Leon),Ampudia ,25,41.914,-4.78
La Dehesilla II,Palencia (Castilla y Leon),Ampudia ,25,41.914,-4.78
La Escalereta,Málaga (Andalucía),Cañete la Real ,3,36.951,-5.024
La Esperanza,Guadalajara (Castilla-La Mancha),Cantalojas,15,41.295,-3.218
La Estanca,Zaragoza (Aragon),"Mallén, Fréscano",8,41.885,-1.441
La Estancia,Cadiz (Andalucía),Vejer de la Frontera,3,36.252,-5.97
La Florida,Las Palmas (Canarias),Agüimes ,5,27.925,-15.573
La Fraila,Navarra,Olite,3,42.441,-1.697
La Fuensanta,Albacete (Castilla-La Mancha),"Alcadozo, Peñas de San Pedro",33,38.686,-2.021
La Gamoneda,Zamora (Castilla y Leon),"Lubián, Hermisende",65,41.996,-6.9
La Herrería,Cadiz (Andalucía),Tarifa,28,36.16,-5.721
La Joya (PEESA),Cadiz (Andalucía),Tarifa,12,36.01,-5.6
La Lastra,Burgos (Castilla y Leon),Huérmeces,7,42.559,-3.803
La Llacuna,Barcelona (Cataluna),,1,41.474,-1.53
La Loma,Teruel (Aragon),Aliaga,12,40.672,-0.703
La Lora,Burgos (Castilla y Leon),La Riba de Valdelucio,1,42.754,-4.051
La Lora II ,Burgos (Castilla y Leon),La Riba de Valdelucio ,31,42.754,-4.051
La Lora I ,Burgos (Castilla y Leon),La Riba de Valdelucio ,31,42.754,-4.051
La Losilla,Albacete (Castilla-La Mancha),Romica,14,38.896,-1.776
La Magdalena,Burgos (Castilla y Leon),"Merindad, Valdeporres, Valle Valdebezana",28,43.044,-3.834
La Mallada,Leon (Castilla y Leon),Lucillo,28,42.41,-6.3
La Manga,Cadiz (Andalucía),Tarifa,15,36.01,-5.6
La Mesa (ES),Burgos (Castilla y Leon),Los Altos,15,42.78,-3.65
La Muela II,Zaragoza (Aragon),La Muela,40,41.58,-1.12
La Muela III,Zaragoza (Aragon),La Muela,25,41.58,-1.12
La Muela Norte,Zaragoza (Aragon),La Muela,35,41.592,-1.124
La Muga I,Zaragoza (Aragon),"Gallur, Magallón",0,41.867,-1.321
La Muga II,Zaragoza (Aragon),"Mallén, Gallur, Magallón",0,41.885,-1.439
La Muga III,Zaragoza (Aragon),"Agón,",0,41.856,-1.455
La Muñeca,Palencia (Castilla y Leon),Ampudia,27,41.91,-4.78
La Nava (Málaga),Málaga (Andalucía),Cañete la Real ,14,36.911,-5.065
La Nava (Zaragoza),Zaragoza (Aragon),"Gallur, Magallón",0,41.846,-1.395
La Navica,Albacete (Castilla-La Mancha),La Roda,20,39.149,-2.188
La Noguera,Almeria (Andalucía),"Turrillas, Lucainena de las Torres ",13,37.023,-2.262
La Peña,Zaragoza (Aragon),"Sierra de Luna, Las Pedrosas",0,42.043,-0.897
La Peñuca,Burgos (Castilla y Leon),"Merindad Valdeporres, Merindad Sotoscueva",22,43.02,-3.7
La Plana I,Zaragoza (Aragon),La Muela,3,41.557,-1.102
La Plana I+D,Zaragoza (Aragon),La Muela,1,41.557,-1.102
La Plana I+D Ampliación,Zaragoza (Aragon),La Muela,1,41.557,-1.102
La Plana II,Zaragoza (Aragon),La Muela,25,41.542,-1.097
La Plana III,Zaragoza (Aragon),La Muela,35,41.545,-1.079
La Plata,Toledo (Castilla-La Mancha),Villarubia de Santiago,25,39.999,-3.351
La Plata Ampliación,Toledo (Castilla-La Mancha),Villarubia de Santiago,8,39.999,-3.351
La Rabia,Cadiz (Andalucía),Jeréz de la Frontera ,13,36.687,-6.231
La Retuerta (Fase B),Huelva (Andalucía),El Almendro ,19,37.507,-7.27
La Rinconada,Zaragoza (Aragon),"Herrera de los Navarros, Aguión, Azuara",0,41.253,-1.008
La Risa,Cadiz (Andalucía),Tarifa,6,36.01,-5.6
La Roca,SC Tenerife (Tenerife),Granadilla de Abona ,7,28.122,-16.579
La Ruya I+D,Palencia (Castilla y Leon),Aguilar del Campoo,1,42.79,-4.26
La Sarda,Zaragoza (Aragon),Sierra de Luna,0,42.047,-0.908
La Sarguilla,Albacete (Castilla-La Mancha),Villavaliente,1,39.111,-1.484
La Serreta + ampliación,Zaragoza (Aragon),Rueda de Jalón,75,41.69,-1.281
La Sía,Burgos (Castilla y Leon),Espinosa de los Monteros,27,43.15,-3.571
La Solana,Valencia (Comunidad Valenciana),Ayora,52,39.031,-1.143
La Sorda,Navarra,"Tafalla, Artajona ",4,42.543,-1.752
La Sotonera,Huesca (Aragon),"Gurrea de Gallego, Alcalá de Gurrea",12,42.085,-0.711
La Tahuna,Cadiz (Andalucía),Tarifa,10,36.01,-5.6
La Tella,Murcia,Jumilla,25,38.479,-1.324
La Torada,Burgos (Castilla y Leon),Merindad de Valdivieso,14,42.874,-3.642
La Torada Ampliación,Burgos (Castilla y Leon),Merindad de Valdivieso,3,42.874,-3.643
La Torre I,Cadiz (Andalucía),Tarifa,8,36.01,-5.6
La Torrecilla (Fase I),Teruel (Aragon),"Utrillas, Pancrudo, Martín del Río",19,40.794,-0.98
La Torrecilla (Fase II),Teruel (Aragon),"Utrillas, Pancrudo, Martín del Río",26,40.794,-0.98
La Unión,Murcia,La Unión,8,37.61,-0.862
La Valdivia,Sevilla (Andalucía),Osuna,19,37.14,-5.144
La Vaquería,Las Palmas (Canarias),Agüimes ,1,27.904,-15.442
La Vega I,Zamora (Castilla y Leon),Monfarracinos ,2,41.576,-5.718
La Vega II,Zamora (Castilla y Leon),Monfarracinos ,2,41.576,-5.718
La Vereda,Las Palmas (Canarias),San Bartolomé ,1,27.925,-15.573
La Victoria,Cadiz (Andalucía),Chiclana de la Frontera ,12,36.419,-6.149
La Zarzuela,Burgos (Castilla y Leon),"Los Balbases, Castrojeriz, Vallegera",22,42.183,-4.153
Labrada,Lugo (Galicia),Abadín,25,43.36,-7.48
Labradas I,Zamora (Castilla y Leon),"Villaferrueña, Arrabalde",28,42.117,-5.93
Labradas I Ampliación,Zamora (Castilla y Leon),"Villaferrueña, Arrabalde, Villagería, Alcubilla",15,42.117,-5.93
Lanternoso,Albacete (Castilla-La Mancha),"Bonillo, Villa Robledo",16,39.066,-2.674
Lanzarote Este,Offshore,,0,28.94,-13.5
Larriba,Logroño (La Rioja),"Munilla, Hornillos de Cameros, Ajamil",16,42.194,-2.388
Las Aldehuelas,Soria (Castilla y Leon),"Aldehuelas, Vizmanos, Arévalo de la Sierra, La Poveda, Sta, Cruz Yanguas",59,41.997,-2.44
Las Angosturas,Málaga (Andalucía),"Campillos, Tella",18,37.055,-4.859
Las Azubias,Zaragoza (Aragon),Rueda de Jalón,0,41.634,-1.278
Las Bodeguillas,Valencia (Comunidad Valenciana),Ayora,43,39.031,-1.143
Las Cabezas ,Huelva (Andalucía),Puebla de Guzmán ,11,37.61,-7.25
Las Canteras,Palencia (Castilla y Leon),Monzón de Campos,4,42.119,-4.49
Las Casillas I,Las Palmas (Canarias),San Bartolomé de Tirajana,5,27.802,-15.446
Las Colinas,Las Palmas (Canarias),"Santa Lucía de Tirajana, Agüimes",0,27.914,-15.494
Las Fuentes,Burgos (Castilla y Leon),Carcedo de Burgos ,9,42.287,-3.596
Las Gorgas,Zaragoza (Aragon),"Gurrea de Gallego, Alcalá de Gurrea",3,42.054,-0.697
Las Hoyuelas,Albacete (Castilla-La Mancha),Pinilla,40,38.817,-1.135
Las Llanas de Codés,Navarra,Azuelo,117,42.59,-2.34
Las Lomas (ES),Granada (Andalucía),"Lanjarón, El pinar",10,36.91,-3.518
Las Lomillas,Almeria (Andalucía),Abrucena ,6,37.182,-2.789
Las Majas VII A,Zaragoza (Aragon),"Herrera de los Navarros, Villar de los Navarros",0,41.209,-1.085
Las Majas VII B,Zaragoza (Aragon),"Fuendetodos, Azuara, Aguilón, Herrera de los Navarros",0,41.342,-0.962
Las Majas VII C,Zaragoza (Aragon),"Aguilón, Herrera de los Navarros",0,41.294,-1.048
Las Majas VII D,Zaragoza (Aragon),"Azuara, Moyuela",0,41.259,-0.876
Las Majas VII E,Zaragoza (Aragon),Herrera de los Navarros,0,41.209,-1.085
Las Monjas,Cadiz (Andalucía),"Medina, Sidonia ",14,36.463,-5.945
Las Monjas Fase II,Cadiz (Andalucía),"Medina, Sidonia",4,36.462,-5.929
Las Panaderas,Valladolid (Castilla y Leon),Castromonte,13,41.789,-5.027
Las Pardas,Burgos (Castilla y Leon),Valle de Sedano,33,42.72,-3.75
Las Perdices,Almeria (Andalucía),Nacimiento ,1,37.128,-2.688
Las Tadeas,Palencia (Castilla y Leon),"Cardeñosa de Volpejera, Paredes de Nava",11,42.232,-4.702
Las Traperas,Valladolid (Castilla y Leon),Medina del Campo,6,41.31,-4.933
Las Vegas,Cadiz (Andalucía),Medina-Sidonia ,10,36.508,-5.893
Las Viñas (Fase A),Burgos (Castilla y Leon),"Valle de Santibáñez, Merindad de Río Ubierna ",11,42.474,-3.744
Las Viñas (Fase B),Burgos (Castilla y Leon),"Valle de Santibáñez, Merindad de Río Ubierna ",8,42.474,-3.744
Layna,Soria (Castilla y Leon),Arcos de Jalón,25,41.101,-2.268
Leboreiro,Lugo (Galicia),Muras,32,42.89,-7.96
Lecrín,Granada (Andalucía),Lecrín ,6,36.959,-3.562
Leitza-Beruete,Navarra,"Beruete, Leitza",32,43.068,-1.86
Leoz,Navarra,Leoz,41,42.547,-1.584
Lerga,Navarra,Lerga ,41,42.58,-1.519
Les Calobres,Tarragona (Cataluna),El Perelló,17,40.883,-0.662
Les Colladetes,Tarragona (Cataluna),El Perelló,54,40.909,-0.693
Les Comes,Tarragona (Cataluna),Vilalba dels Arcs,2,41.12,-0.41
Les Forques,Tarragona (Cataluna),"Passanant, Vallbora de Les Mongues, Espuga de Francoli",15,41.5,-1.219
Les Forques II,Tarragona (Cataluna),Passanat,6,41.5,-1.219
Les Rotes,Lleida (Cataluna),"La Granadella, Bellaguarda",22,41.357,-0.605
Leste,Lugo (Galicia),"Ourol, O Valadouro",19,43.56,-7.55
Levantera,Cadiz (Andalucía),Tarifa,6,36.01,-5.6
Lezuza,Albacete (Castilla-La Mancha),Lezuza ,15,38.9,-2.349
Llanos de Juan Grande,Las Palmas (Canarias),San Bartolomé de Tirajana ,67,27.815,-15.444
Llanos de la Aldea,Las Palmas (Canarias),San Bartolomé de Tirajana,25,27.802,-15.446
Llanos de la Esquina,SC Tenerife (Tenerife),Arico,7,28.152,-16.48
Llanos de San Martín,Burgos (Castilla y Leon),"Quintanavides, Castil de Peones",21,42.454,-3.413
Llanos del Espino,Málaga (Andalucía),"Almargen, Teba ",19,36.992,-4.973
Lodoso,Burgos (Castilla y Leon),Pedrosa del Río Urbel ,33,42.427,-3.844
Loma de Almendarache,Cadiz (Andalucía),Tarifa,6,36.01,-5.6
Loma de Ayala,Almeria (Andalucía),"Nacimiento, Las Tres Villas ",10,37.154,-2.688
Loma de Lázaro,Cadiz (Andalucía),Alcalá de los Gazules,8,36.405,-5.776
Loma del Capón,Granada (Andalucía),Albuñuelas,17,36.956,-3.669
Loma del Suyal (Fase A),Cadiz (Andalucía),Vejer de la Frontera,1,36.254,-5.962
Loma del Suyal (Fase B),Cadiz (Andalucía),Vejer de la Frontera,1,36.254,-5.962
Loma Gorda (Guadalajara),Guadalajara (Castilla-La Mancha),Tartanedo,25,41.009,-1.948
